id,tasting_session_id,winner_bottle_id,loser_bottle_id,created_at,winner_variant_id,loser_variant_id
00bac47f-9674-4cef-946e-b65c3fd59d03,f3f1f257-b2b4-4168-b667-d3a4c68ad233,a1a20971-35c7-4f7a-950f-b285b8b94729,bda493aa-cd97-437a-bff4-a0a4b5432cc5,2026-08-05 17:00:00+00,9587521a-0323-4ec2-a5b6-41b8394ea019,9ef9ff8a-55ad-4b41-9b59-c169df4b19da
22a7e574-fa06-44dc-8b11-502f7b3dd0da,f3f1f257-b2b4-4168-b667-d3a4c68ad233,a1a20971-35c7-4f7a-950f-b285b8b94729,0c5afeab-1c00-4fa1-adb2-300990500a67,2026-08-05 17:00:00+00,9587521a-0323-4ec2-a5b6-41b8394ea019,81e27bba-05f1-43b0-a806-4e08d0bf658a
43f3b5c2-b332-43d8-8509-c3f888aedc9f,f3f1f257-b2b4-4168-b667-d3a4c68ad233,bdb52ed0-b8dc-42f4-879f-abf3275b8fae,fece2bbc-b2fd-4acb-a5b4-817439b0c4f7,2026-08-05 17:00:00+00,56150e90-4ce8-4d3a-aaa1-98e7fc03b053,56b29901-7b04-4847-8189-3c1f4c0ec09a
86e31ea0-a59e-4dbd-bf82-caf9568c665e,f3f1f257-b2b4-4168-b667-d3a4c68ad233,a1a20971-35c7-4f7a-950f-b285b8b94729,fece2bbc-b2fd-4acb-a5b4-817439b0c4f7,2026-08-05 17:00:00+00,9587521a-0323-4ec2-a5b6-41b8394ea019,56b29901-7b04-4847-8189-3c1f4c0ec09a
8de42b62-2f82-4bac-8ce6-fb071fd9e8e5,f3f1f257-b2b4-4168-b667-d3a4c68ad233,bda493aa-cd97-437a-bff4-a0a4b5432cc5,fece2bbc-b2fd-4acb-a5b4-817439b0c4f7,2026-08-05 17:00:00+00,9ef9ff8a-55ad-4b41-9b59-c169df4b19da,56b29901-7b04-4847-8189-3c1f4c0ec09a
8df62ced-1680-47de-846e-54b3a88f85de,f3f1f257-b2b4-4168-b667-d3a4c68ad233,a1a20971-35c7-4f7a-950f-b285b8b94729,bdb52ed0-b8dc-42f4-879f-abf3275b8fae,2026-08-05 17:00:00+00,9587521a-0323-4ec2-a5b6-41b8394ea019,56150e90-4ce8-4d3a-aaa1-98e7fc03b053
b82b8b97-6cd1-4bfc-a2a4-0884ac98442b,f3f1f257-b2b4-4168-b667-d3a4c68ad233,0c5afeab-1c00-4fa1-adb2-300990500a67,bdb52ed0-b8dc-42f4-879f-abf3275b8fae,2026-08-05 17:00:00+00,81e27bba-05f1-43b0-a806-4e08d0bf658a,56150e90-4ce8-4d3a-aaa1-98e7fc03b053
ba5f43a5-3ef4-4707-bc7b-8b8ee9643a46,f3f1f257-b2b4-4168-b667-d3a4c68ad233,0c5afeab-1c00-4fa1-adb2-300990500a67,bda493aa-cd97-437a-bff4-a0a4b5432cc5,2026-08-05 17:00:00+00,81e27bba-05f1-43b0-a806-4e08d0bf658a,9ef9ff8a-55ad-4b41-9b59-c169df4b19da
c4298a75-0bbf-4ce4-a2ad-6aa2ad42471a,f3f1f257-b2b4-4168-b667-d3a4c68ad233,bdb52ed0-b8dc-42f4-879f-abf3275b8fae,bda493aa-cd97-437a-bff4-a0a4b5432cc5,2026-08-05 17:00:00+00,56150e90-4ce8-4d3a-aaa1-98e7fc03b053,9ef9ff8a-55ad-4b41-9b59-c169df4b19da
ee98632b-be12-44a6-b17e-61b47ffd2dcd,f3f1f257-b2b4-4168-b667-d3a4c68ad233,0c5afeab-1c00-4fa1-adb2-300990500a67,fece2bbc-b2fd-4acb-a5b4-817439b0c4f7,2026-08-05 17:00:00+00,81e27bba-05f1-43b0-a806-4e08d0bf658a,56b29901-7b04-4847-8189-3c1f4c0ec09a
